x,y,ux,uy,velocity_magnitude
4,63,0.017564,0.000000,0.017564
5,0,0.017564,-0.000000,0.017564
5,1,0.051546,0.000000,0.051546
5,2,0.083192,-0.000000,0.083192
5,3,0.112608,0.000000,0.112608
5,4,0.139901,-0.000000,0.139901
5,5,0.165179,0.000000,0.165179
5,6,0.188546,-0.000000,0.188546
5,7,0.210103,0.000000,0.210103
5,8,0.229952,-0.000000,0.229952
5,9,0.248191,0.000000,0.248191
5,10,0.264914,-0.000000,0.264914
5,11,0.280216,0.000000,0.280216
5,12,0.294185,-0.000000,0.294185
5,13,0.306907,0.000000,0.306907
5,14,0.318464,-0.000000,0.318464
5,15,0.328937,0.000000,0.328937
5,16,0.338399,-0.000000,0.338399
5,17,0.346921,0.000000,0.346921
5,18,0.354571,-0.000000,0.354571
5,19,0.361411,0.000000,0.361411
5,20,0.367499,-0.000000,0.367499
5,21,0.372889,0.000000,0.372889
5,22,0.377632,-0.000000,0.377632
5,23,0.381771,0.000000,0.381771
5,24,0.385348,-0.000000,0.385348
5,25,0.388398,0.000000,0.388398
5,26,0.390954,-0.000000,0.390954
5,27,0.393043,0.000000,0.393043
5,28,0.394687,-0.000000,0.394687
5,29,0.395904,0.000000,0.395904
5,30,0.396708,-0.000000,0.396708
5,31,0.397107,0.000000,0.397107
5,32,0.397107,-0.000000,0.397107
5,33,0.396708,0.000000,0.396708
5,34,0.395904,-0.000000,0.395904
5,35,0.394687,0.000000,0.394687
5,36,0.393043,-0.000000,0.393043
5,37,0.390954,0.000000,0.390954
5,38,0.388398,-0.000000,0.388398
5,39,0.385348,0.000000,0.385348
5,40,0.381771,-0.000000,0.381771
5,41,0.377632,0.000000,0.377632
5,42,0.372889,-0.000000,0.372889
5,43,0.367499,0.000000,0.367499
5,44,0.361411,-0.000000,0.361411
5,45,0.354571,0.000000,0.354571
5,46,0.346921,-0.000000,0.346921
5,47,0.338399,0.000000,0.338399
5,48,0.328937,-0.000000,0.328937
5,49,0.318464,0.000000,0.318464
5,50,0.306907,-0.000000,0.306907
5,51,0.294185,0.000000,0.294185
5,52,0.280216,-0.000000,0.280216
5,53,0.264914,0.000000,0.264914
5,54,0.248191,-0.000000,0.248191
5,55,0.229952,0.000000,0.229952
5,56,0.210103,-0.000000,0.210103
5,57,0.188546,0.000000,0.188546
5,58,0.165179,-0.000000,0.165179
5,59,0.139901,0.000000,0.139901
5,60,0.112608,-0.000000,0.112608
5,61,0.083192,0.000000,0.083192
5,62,0.051546,-0.000000,0.051546
5,63,0.017564,0.000000,0.017564
6,0,0.017564,-0.000000,0.017564
6,1,0.051546,0.000000,0.051546
6,2,0.083192,-0.000000,0.083192
6,3,0.112608,0.000000,0.112608
6,4,0.139901,-0.000000,0.139901
6,5,0.165179,0.000000,0.165179
6,6,0.188546,-0.000000,0.188546
6,7,0.210103,0.000000,0.210103
6,8,0.229952,-0.000000,0.229952
6,9,0.248191,0.000000,0.248191
6,10,0.264914,-0.000000,0.264914
6,11,0.280216,0.000000,0.280216
6,12,0.294185,-0.000000,0.294185
6,13,0.306907,0.000000,0.306907
6,14,0.318464,-0.000000,0.318464
6,15,0.328937,0.000000,0.328937
6,16,0.338399,-0.000000,0.338399
6,17,0.346921,0.000000,0.346921
6,18,0.354571,-0.000000,0.354571
6,19,0.361411,0.000000,0.361411
6,20,0.367499,-0.000000,0.367499
6,21,0.372889,0.000000,0.372889
6,22,0.377632,-0.000000,0.377632
6,23,0.381771,0.000000,0.381771
6,24,0.385348,-0.000000,0.385348
6,25,0.388398,0.000000,0.388398
6,26,0.390954,-0.000000,0.390954
6,27,0.393043,0.000000,0.393043
6,28,0.394687,-0.000000,0.394687
6,29,0.395904,0.000000,0.395904
6,30,0.396708,-0.000000,0.396708
6,31,0.397107,0.000000,0.397107
6,32,0.397107,-0.000000,0.397107
6,33,0.396708,0.000000,0.396708
6,34,0.395904,-0.000000,0.395904
6,35,0.394687,0.000000,0.394687
6,36,0.393043,-0.000000,0.393043
6,37,0.390954,0.000000,0.390954
6,38,0.388398,-0.000000,0.388398
6,39,0.385348,0.000000,0.385348
6,40,0.381771,-0.000000,0.381771
6,41,0.377632,0.000000,0.377632
6,42,0.372889,-0.000000,0.372889
6,43,0.367499,0.000000,0.367499
6,44,0.361411,-0.000000,0.361411
6,45,0.354571,0.000000,0.354571
6,46,0.346921,-0.000000,0.346921
6,47,0.338399,0.000000,0.338399
6,48,0.328937,-0.000000,0.328937
6,49,0.318464,0.000000,0.318464
6,50,0.306907,-0.000000,0.306907
6,51,0.294185,0.000000,0.294185
