x,y,ux,uy,velocity_magnitude
5,24,0.04513325,0.00000000,0.04513325
5,25,0.04396732,0.00000000,0.04396732
5,26,0.04275099,0.00000000,0.04275099
5,27,0.04148393,0.00000000,0.04148393
5,28,0.04016580,0.00000000,0.04016580
5,29,0.03879627,0.00000000,0.03879627
5,30,0.03737498,0.00000000,0.03737498
5,31,0.03590158,0.00000000,0.03590158
5,32,0.03437569,0.00000000,0.03437569
5,33,0.03279696,0.00000000,0.03279696
5,34,0.03116499,0.00000000,0.03116499
5,35,0.02947939,0.00000000,0.02947939
5,36,0.02773978,0.00000000,0.02773978
5,37,0.02594574,0.00000000,0.02594574
5,38,0.02409688,0.00000000,0.02409688
5,39,0.02219278,0.00000000,0.02219278
5,40,0.02023302,0.00000000,0.02023302
5,41,0.01821719,0.00000000,0.01821719
5,42,0.01614485,0.00000000,0.01614485
5,43,0.01401558,0.00000000,0.01401558
5,44,0.01182895,0.00000000,0.01182895
5,45,0.00958451,0.00000000,0.00958451
5,46,0.00728184,0.00000000,0.00728184
5,47,0.00492049,0.00000000,0.00492049
5,48,0.00250002,0.00000000,0.00250002
5,49,0.00002000,0.00000000,0.00002000
6,0,0.05863487,0.00000000,0.05863487
6,1,0.05861176,0.00000000,0.05861176
6,2,0.05854243,0.00000000,0.05854243
6,3,0.05842686,0.00000000,0.05842686
6,4,0.05826500,0.00000000,0.05826500
6,5,0.05805682,0.00000000,0.05805682
6,6,0.05780225,0.00000000,0.05780225
6,7,0.05750121,0.00000000,0.05750121
6,8,0.05715361,0.00000000,0.05715361
6,9,0.05675934,0.00000000,0.05675934
6,10,0.05631829,0.00000000,0.05631829
6,11,0.05583032,0.00000000,0.05583032
6,12,0.05529529,0.00000000,0.05529529
6,13,0.05471303,0.00000000,0.05471303
6,14,0.05408338,0.00000000,0.05408338
6,15,0.05340615,0.00000000,0.05340615
6,16,0.05268114,0.00000000,0.05268114
6,17,0.05190814,0.00000000,0.05190814
6,18,0.05108694,0.00000000,0.05108694
6,19,0.05021728,0.00000000,0.05021728
6,20,0.04929893,0.00000000,0.04929893
6,21,0.04833163,0.00000000,0.04833163
6,22,0.04731510,0.00000000,0.04731510
6,23,0.04624907,0.00000000,0.04624907
6,24,0.04513325,0.00000000,0.04513325
6,25,0.04396732,0.00000000,0.04396732
6,26,0.04275099,0.00000000,0.04275099
6,27,0.04148393,0.00000000,0.04148393
6,28,0.04016580,0.00000000,0.04016580
6,29,0.03879627,0.00000000,0.03879627
6,30,0.03737498,0.00000000,0.03737498
6,31,0.03590158,0.00000000,0.03590158
6,32,0.03437569,0.00000000,0.03437569
6,33,0.03279696,0.00000000,0.03279696
6,34,0.03116499,0.00000000,0.03116499
6,35,0.02947939,0.00000000,0.02947939
6,36,0.02773978,0.00000000,0.02773978
6,37,0.02594574,0.00000000,0.02594574
6,38,0.02409688,0.00000000,0.02409688
6,39,0.02219278,0.00000000,0.02219278
6,40,0.02023302,0.00000000,0.02023302
6,41,0.01821719,0.00000000,0.01821719
6,42,0.01614485,0.00000000,0.01614485
6,43,0.01401558,0.00000000,0.01401558
6,44,0.01182895,0.00000000,0.01182895
6,45,0.00958451,0.00000000,0.00958451
6,46,0.00728184,0.00000000,0.00728184
6,47,0.00492049,0.00000000,0.00492049
6,48,0.00250002,0.00000000,0.00250002
6,49,0.00002000,0.00000000,0.00002000
7,0,0.05863487,0.00000000,0.05863487
7,1,0.05861176,0.00000000,0.05861176
7,2,0.05854243,0.00000000,0.05854243
7,3,0.05842686,0.00000000,0.05842686
7,4,0.05826500,0.00000000,0.05826500
7,5,0.05805682,0.00000000,0.05805682
7,6,0.05780225,0.00000000,0.05780225
7,7,0.05750121,0.00000000,0.05750121
7,8,0.05715361,0.00000000,0.05715361
7,9,0.05675934,0.00000000,0.05675934
7,10,0.05631829,0.00000000,0.05631829
7,11,0.05583032,0.00000000,0.05583032
7,12,0.05529529,0.00000000,0.05529529
7,13,0.05471303,0.00000000,0.05471303
7,14,0.05408338,0.00000000,0.05408338
7,15,0.05340615,0.00000000,0.05340615
7,16,0.05268114,0.00000000,0.05268114
7,17,0.05190814,0.00000000,0.05190814
7,18,0.05108694,0.00000000,0.05108694
7,19,0.05021728,0.00000000,0.05021728
7,20,0.04929893,0.00000000,0.04929893
7,21,0.04833163,0.00000000,0.04833163
7,22,0.04731510,0.00000000,0.04731510
7,23,0.04624907,0.00000000,0.04624907
7,24,0.04513325,0.00000000,0.04513325
7,25,0.04396732,0.00000000,0.04396732
7,26,0.04275099,0.00000000,0.04275099
7,27,0.04148393,0.00000000,0.04148393
7,28,0.04016580,0.00000000,0.04016580
7,29,0.03879627,0.00000000,0.03879627
7,30,0.03737498,0.00000000,0.03737498
7,31,0.03590158,0.00000000,0.03590158
7,32,0.03437569,0.00000000,0.03437569
7,33,0.03279696,0.00000000,0.03279696
7,34,0.03116499,0.00000000,0.03116499
7,35,0.02947939,0.00000000,0.02947939
7,36,0.02773978,0.00000000,0.02773978
7,37,0.02594574,0.00000000,0.02594574
7,38,0.02409688,0.00000000,0.02409688
7,39,0.02219278,0.00000000,0.02219278
7,40,0.02023302,0.00000000,0.02023302
7,41,0.01821719,0.00000000,0.01821719
7,42,0.01614485,0.00000000,0.01614485
7,43,0.01401558,0.00000000,0.01401558
7,44,0.01182895,0.00000000,0.01182895
7,45,0.00958451,0.00000000,0.00958451
7,46,0.00728184,0.00000000,0.00728184
7,47,0.00492049,0.00000000,0.00492049
7,48,0.00250002,0.00000000,0.00250002
7,49,0.00002000,0.00000000,0.00002000
8,0,0.05863487,0.00000000,0.05863487
8,1,0.05861176,0.00000000,0.05861176
8,2,0.05854243,0.00000000,0.05854243
8,3,0.05842686,0.00000000,0.05842686
8,4,0.05826500,0.00000000,0.05826500
8,5,0.05805682,0.00000000,0.05805682
8,6,0.05780225,0.00000000,0.05780225
